area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,log_price,log_area,total_rooms,area_per_room,log_area_per_room,rooms_to_story_ratio,lusury_pack,fully_featured,no_parking,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
7420,4,2,3,1,0,0,0,1,2,1,16.40327466837995,8.912069097970134,6,1236.6666666666667,1.485344849661689,2.0,0,0,0,1,0,0
8960,4,4,4,1,0,0,0,1,3,0,16.32103657658766,9.10063710688422,8,1120.0,1.1375796383605274,2.0,0,0,0,1,0,0
9960,3,2,2,1,0,1,0,0,2,1,16.32103657658766,9.206432747145165,5,1992.0,1.841286549429033,2.5,0,0,0,0,1,0
7500,4,2,2,1,0,1,0,1,3,1,16.31817534454053,8.922791623969637,6,1250.0,1.4871319373282728,3.0,0,0,0,1,0,0
7420,4,1,2,1,1,1,0,1,2,0,16.250000809480674,8.912069097970134,5,1484.0,1.782413819594027,2.5,0,1,0,1,0,0
7500,3,3,1,1,0,1,0,1,2,1,16.19967573011664,8.922791623969637,6,1250.0,1.4871319373282728,6.0,0,0,0,0,1,0
8580,4,3,4,1,0,0,0,1,2,1,16.132984361974234,9.057305735807121,7,1225.7142857142858,1.2939008194010173,1.75,0,0,0,0,1,0
16200,5,3,2,1,0,0,0,0,0,0,16.132984361974234,9.692828247710418,8,2025.0,1.2116035309638022,4.0,0,0,1,0,0,1
8100,4,1,2,1,1,1,0,1,2,1,16.105010512726782,8.999742789830492,5,1620.0,1.7999485579660983,2.5,0,1,0,1,0,0
5750,3,2,4,1,1,0,0,1,1,1,16.097893045681612,8.657129031713755,5,1150.0,1.731425806342751,1.25,0,0,0,0,0,1
13200,3,1,2,1,0,1,0,1,2,1,16.097893045681612,9.488047863280759,4,3300.0,2.3720119658201897,2.0,0,0,0,1,0,0
6000,4,3,2,1,1,1,1,0,2,0,16.085675862997316,8.699681400989514,7,857.1428571428571,1.2428116287127877,3.5,0,0,0,0,1,0
6550,4,2,2,1,0,0,0,1,1,1,16.04659975666463,8.787372988731876,6,1091.6666666666667,1.464562164788646,3.0,0,0,0,0,1,0
3500,4,2,2,1,0,0,1,0,2,0,16.039052551842968,8.160803920954665,6,583.3333333333334,1.3601339868257776,3.0,0,0,0,1,0,0
7800,3,2,2,1,0,0,0,0,0,1,16.039052551842968,8.962007209588313,5,1560.0,1.7924014419176626,2.5,0,0,1,0,1,0
6000,4,1,2,1,0,1,0,0,2,0,16.02378508137718,8.699681400989514,5,1200.0,1.7399362801979028,2.5,0,0,0,0,1,0
6600,4,2,2,1,1,1,0,1,1,1,16.02378508137718,8.79497643168877,6,1100.0,1.4658294052814618,3.0,0,1,0,0,0,1
8500,3,2,4,1,0,0,0,1,2,0,16.00828089655825,9.04793908261736,5,1700.0,1.809587816523472,1.25,0,0,0,1,0,0
4600,3,2,2,1,1,0,0,1,2,0,16.00043771997602,8.434028950155469,5,920.0,1.6868057900310938,2.5,0,0,0,1,0,0
6420,3,2,2,1,0,0,0,1,1,1,15.996492942129612,8.76732914779405,5,1284.0,1.75346582955881,2.5,0,0,0,0,1,0
4320,3,1,2,1,0,1,1,0,2,0,15.984564372619506,8.371242135931933,4,1080.0,2.0928105339829832,2.0,0,0,0,0,1,0
7155,3,2,1,1,1,1,0,1,2,0,15.976532201843899,8.87570644462861,5,1431.0,1.775141288925722,5.0,0,1,0,0,0,1
8050,3,1,1,1,1,1,0,1,1,0,15.97249179277332,8.993551586299981,4,2012.5,2.2483878965749953,4.0,0,1,0,1,0,0
4560,3,2,2,1,1,1,0,1,1,0,15.97249179277332,8.4252971767117,5,912.0,1.68505943534234,2.5,0,1,0,1,0,0
8800,3,2,2,1,0,0,0,1,2,0,15.964361667634346,9.082620630373812,5,1760.0,1.8165241260747624,2.5,0,0,0,1,0,0
6540,4,2,2,1,1,1,0,1,2,1,15.960271682860764,8.785845337961213,6,1090.0,1.4643075563268688,3.0,0,1,0,1,0,0
6000,3,2,4,1,1,1,0,1,0,1,15.951214396813645,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,1,1,0,1,0
8875,3,1,1,1,0,0,0,0,1,0,15.943742382861155,9.091106284052485,4,2218.75,2.272776571013121,4.0,0,0,0,0,1,0
7950,5,2,2,1,0,1,1,0,2,0,15.943742382861155,8.981052985901483,7,1135.7142857142858,1.2830075694144976,3.5,0,0,0,0,0,1
5500,4,2,2,1,0,1,0,1,1,1,15.943742382861155,8.612685172875459,6,916.6666666666666,1.4354475288125765,3.0,0,0,0,0,1,0
7475,3,2,4,1,0,0,0,1,2,0,15.943742382861155,8.919453168575453,5,1495.0,1.7838906337150906,1.25,0,0,0,0,0,1
7000,3,1,4,1,0,0,0,1,2,0,15.943742382861155,8.853808274977197,4,1750.0,2.2134520687442993,1.0,0,0,0,0,1,0
4880,4,2,2,1,0,0,0,1,1,1,15.931163602161226,8.493105395887147,6,813.3333333333334,1.4155175659811912,3.0,0,0,0,1,0,0
5960,3,3,2,1,1,1,0,0,1,0,15.918424577929366,8.692993531219926,6,993.3333333333334,1.448832255203321,3.0,0,0,0,0,0,1
6840,5,1,2,1,1,1,0,1,1,0,15.909840835290563,8.830689198760998,6,1140.0,1.4717815331268331,3.0,0,1,0,1,0,0
7000,3,2,4,1,0,0,0,1,2,0,15.905018884112332,8.853808274977197,5,1400.0,1.7707616549954395,1.25,0,0,0,1,0,0
7482,3,2,3,1,0,0,1,0,1,1,15.900312830217915,8.920389060080359,5,1496.4,1.7840778120160716,1.6666666666666667,0,0,0,1,0,0
9000,4,2,4,1,0,0,0,1,2,0,15.892449094739266,9.105090961257085,6,1500.0,1.5175151602095143,1.5,0,0,0,1,0,0
6000,3,1,4,1,1,0,0,1,2,0,15.890253704451245,8.699681400989514,4,1500.0,2.1749203502473784,1.0,0,0,0,0,0,1
6000,4,2,4,1,0,0,0,1,1,0,15.88363846616608,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,0,1,0
6550,3,1,2,1,0,1,0,1,0,1,15.87920386966009,8.787372988731876,4,1637.5,2.196843247182969,2.0,0,0,1,1,0,0
6360,3,2,4,1,0,0,0,1,0,1,15.874749519877604,8.757940876678804,5,1272.0,1.7515881753357607,1.25,0,0,1,1,0,0
6480,3,2,4,1,0,0,0,1,2,0,15.856731016694035,8.776630098427717,5,1296.0,1.7553260196855434,1.25,0,0,0,0,0,1
6000,4,2,4,1,0,0,0,0,2,0,15.856731016694035,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,0,1,0
6000,4,2,4,1,0,0,0,1,1,0,15.83838188043084,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,1,0,0
6000,3,2,3,1,0,0,0,1,0,0,15.83838188043084,8.699681400989514,5,1200.0,1.7399362801979028,1.6666666666666667,0,0,1,0,1,0
6000,3,2,4,1,0,0,0,1,1,0,15.83374150148957,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,0,0,1,0,0
6600,3,1,4,1,0,0,0,1,3,1,15.829079489004743,8.79497643168877,4,1650.0,2.1987441079221925,1.0,0,0,0,1,0,0
4300,3,2,2,1,0,1,0,0,1,0,15.824395640319128,8.366602832783736,5,860.0,1.6733205665567472,2.5,0,0,0,0,0,1
7440,3,2,1,1,1,1,0,1,0,1,15.819689749914444,8.914760527397261,5,1488.0,1.7829521054794522,5.0,0,1,1,0,1,0
7440,3,2,4,1,0,0,0,0,1,1,15.819689749914444,8.914760527397261,5,1488.0,1.7829521054794522,1.25,0,0,0,0,0,1
6325,3,1,4,1,0,0,0,1,1,0,15.819689749914444,8.752423403865594,4,1581.25,2.1881058509663984,1.0,0,0,0,0,0,1
6000,4,2,4,1,1,0,0,1,1,0,15.810211007243431,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,1,0,0
5150,3,2,4,1,0,0,0,1,2,0,15.810211007243431,8.546946149565585,5,1030.0,1.709389229913117,1.25,0,0,0,0,1,0
6000,3,2,2,1,1,0,0,1,1,0,15.810211007243431,8.699681400989514,5,1200.0,1.7399362801979028,2.5,0,0,0,0,1,0
6000,3,1,2,1,0,0,0,1,1,0,15.810211007243431,8.699681400989514,4,1500.0,2.1749203502473784,2.0,0,0,0,0,0,1
11440,4,1,2,1,0,1,0,0,1,1,15.80925817261786,9.344958673700944,5,2288.0,1.8689917347401888,2.5,0,0,0,0,1,0
9000,4,2,4,1,1,0,0,1,1,1,15.795822271763136,9.105090961257085,6,1500.0,1.5175151602095143,1.5,0,0,0,1,0,0
7680,4,2,4,1,1,0,0,1,1,0,15.790979647957377,8.946505025998682,6,1280.0,1.4910841709997804,1.5,0,0,0,0,1,0
6000,3,2,4,1,1,0,0,1,1,0,15.790979647957377,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,0,0,1,0,0
6000,3,2,2,1,1,0,0,0,1,0,15.78122347437178,8.699681400989514,5,1200.0,1.7399362801979028,2.5,0,0,0,0,1,0
8880,2,1,1,1,0,0,0,1,1,0,15.77137117931546,9.091669442258505,3,2960.0,3.030556480752835,3.0,0,0,0,0,1,0
6240,4,2,2,1,0,0,0,1,1,0,15.77137117931546,8.738895704934043,6,1040.0,1.456482617489007,3.0,0,0,0,1,0,0
6360,4,2,3,1,0,0,0,1,2,1,15.766408390677027,8.757940876678804,6,1060.0,1.4596568127798006,2.0,0,0,0,1,0,0
11175,3,1,1,1,0,1,0,1,1,1,15.76142084987672,9.321523900936798,4,2793.75,2.3303809752341995,4.0,0,0,0,1,0,0
8880,3,2,2,1,0,1,0,1,1,0,15.75137051546622,9.091669442258505,5,1776.0,1.818333888451701,2.5,0,0,0,1,0,0
13200,2,1,1,1,0,1,1,0,1,0,15.75137051546622,9.488047863280759,3,4400.0,3.162682621093586,3.0,0,0,0,1,0,0
7700,3,2,1,1,0,0,0,0,2,0,15.746307214242162,8.94910546953925,5,1540.0,1.7898210939078498,5.0,0,0,0,0,0,1
6000,3,1,1,1,0,0,0,1,1,0,15.741218145474653,8.699681400989514,4,1500.0,2.1749203502473784,4.0,0,0,0,1,0,0
12090,4,2,2,1,0,0,0,0,2,1,15.730961646810274,9.400216653174247,6,2015.0,1.5667027755290412,3.0,0,0,0,1,0,0
4000,3,2,2,1,0,1,0,1,0,1,15.730961646810274,8.294299608857235,5,800.0,1.658859921771447,2.5,0,0,1,0,1,0
6000,4,2,4,1,0,0,0,1,0,0,15.725793677414915,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,1,0,0,1
5020,3,1,4,1,0,0,0,1,0,1,15.720598861308845,8.521384396034705,4,1255.0,2.130346099008676,1.0,0,0,1,0,0,1
6600,2,2,4,1,0,1,0,0,0,1,15.7153769181068,8.79497643168877,4,1650.0,2.1987441079221925,1.0,0,0,1,1,0,0
4040,3,1,2,1,0,1,1,0,1,0,15.710127563007966,8.304247465078474,4,1010.0,2.0760618662696184,2.0,0,0,0,1,0,0
4260,4,2,2,1,0,0,1,0,0,0,15.710127563007966,8.357259153499912,6,710.0,1.3928765255833186,3.0,0,0,1,0,1,0
6420,3,2,3,1,0,0,0,1,0,1,15.710127563007966,8.76732914779405,5,1284.0,1.75346582955881,1.6666666666666667,0,0,1,1,0,0
6500,3,2,3,1,0,0,0,1,0,1,15.710127563007966,8.77971129020447,5,1300.0,1.7559422580408939,1.6666666666666667,0,0,1,1,0,0
5700,3,1,1,1,1,1,0,1,2,1,15.710127563007966,8.648396877031582,4,1425.0,2.1620992192578954,4.0,0,1,0,1,0,0
6000,3,2,3,1,1,0,0,1,0,0,15.710127563007966,8.699681400989514,5,1200.0,1.7399362801979028,1.6666666666666667,0,0,1,1,0,0
6000,3,1,2,1,0,0,1,0,1,1,15.706964672075832,8.699681400989514,4,1500.0,2.1749203502473784,2.0,0,0,0,0,1,0
4000,3,2,2,1,0,1,0,1,1,0,15.704850506702762,8.294299608857235,5,800.0,1.658859921771447,2.5,0,0,0,0,1,0
10500,3,2,1,1,0,1,0,1,1,1,15.704850506702762,9.259225769705994,5,2100.0,1.8518451539411989,5.0,0,0,0,1,0,0
6000,3,2,4,1,0,0,0,1,0,0,15.699545455277173,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,0,1,0,1,0
3760,3,1,2,1,0,0,1,0,2,0,15.688850167794572,8.232440158470336,4,940.0,2.058110039617584,2.0,0,0,0,0,1,0
8250,3,2,3,1,0,0,0,1,0,0,15.688850167794572,9.018089684104343,5,1650.0,1.8036179368208685,1.6666666666666667,0,0,1,1,0,0
6670,3,1,3,1,0,1,0,0,0,1,15.688850167794572,8.805525052709516,4,1667.5,2.201381263177379,1.3333333333333333,0,0,1,0,0,1
3960,3,1,1,1,0,1,0,0,2,0,15.683459319990018,8.284251797621916,4,990.0,2.071062949405479,4.0,0,0,0,0,1,0
7410,3,1,1,1,1,1,0,1,2,1,15.683459319990018,8.910720661951359,4,1852.5,2.2276801654878398,4.0,0,1,0,0,0,1
8580,5,3,2,1,0,0,0,0,2,0,15.678039253360028,9.057305735807121,8,1072.5,1.1321632169758902,4.0,0,0,0,1,0,0
5000,3,1,2,1,0,0,0,1,0,0,15.678039253360028,8.517393171418904,4,1250.0,2.129348292854726,2.0,0,0,1,0,1,0
6750,2,1,1,1,1,1,0,0,2,1,15.674773056081408,8.81744592104187,3,2250.0,2.9391486403472897,3.0,0,0,0,1,0,0
4800,3,2,4,1,1,0,0,1,0,0,15.672589649440985,8.476579508530941,5,960.0,1.6953159017061883,1.25,0,0,1,1,0,0
7200,3,2,1,1,0,1,0,1,3,0,15.656060350091908,8.881975184248867,5,1440.0,1.7763950368497734,5.0,0,0,0,0,1,0
6000,4,2,4,1,0,0,0,0,1,0,15.656060350091908,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,0,1,0
4100,3,2,3,1,0,0,0,1,2,0,15.656060350091908,8.31898612539206,5,820.0,1.663797225078412,1.6666666666666667,0,0,0,0,1,0
9000,3,1,1,1,0,1,0,0,1,1,15.656060350091908,9.105090961257085,4,2250.0,2.2762727403142713,4.0,0,0,0,1,0,0
6400,3,1,1,1,1,1,0,1,1,1,15.656060350091908,8.764209507142004,4,1600.0,2.191052376785501,4.0,0,1,0,0,1,0
6600,3,2,3,1,0,0,0,1,0,1,15.65494862141578,8.79497643168877,5,1320.0,1.758995286337754,1.6666666666666667,0,0,1,0,0,1
6000,4,1,3,1,1,1,0,0,0,1,15.650489305929213,8.699681400989514,5,1200.0,1.7399362801979028,1.6666666666666667,0,0,1,0,0,1
6600,3,2,1,1,0,1,0,1,0,1,15.644887051277268,8.79497643168877,5,1320.0,1.758995286337754,5.0,0,0,1,0,0,1
5500,3,1,3,1,0,0,0,0,1,1,15.644887051277268,8.612685172875459,4,1375.0,2.1531712932188647,1.3333333333333333,0,0,0,0,0,1
5500,3,2,4,1,1,0,0,1,1,0,15.639253234465867,8.612685172875459,5,1100.0,1.7225370345750917,1.25,0,0,0,0,1,0
6350,3,2,3,1,1,0,0,1,0,0,15.639253234465867,8.756367559802975,5,1270.0,1.7512735119605949,1.6666666666666667,0,0,1,1,0,0
5500,3,2,1,1,1,1,0,0,2,1,15.639253234465867,8.612685172875459,5,1100.0,1.7225370345750917,5.0,0,0,0,1,0,0
4500,3,1,4,1,0,0,0,1,0,0,15.633587497847351,8.412054873292933,4,1125.0,2.103013718323233,1.0,0,0,1,0,0,1
5450,4,2,1,1,0,1,0,1,0,1,15.633587497847351,8.603554357064281,6,908.3333333333334,1.4339257261773801,6.0,0,0,1,0,1,0
6420,3,1,3,1,0,1,0,0,0,1,15.627889477660357,8.76732914779405,4,1605.0,2.1918322869485123,1.3333333333333333,0,0,1,0,0,1
3240,4,1,3,1,0,0,0,0,1,0,15.625028245847135,8.083637203141548,5,648.0,1.6167274406283094,1.6666666666666667,0,0,0,0,1,0
6615,4,2,2,1,1,0,1,0,1,0,15.622158803889679,8.797246236703527,6,1102.5,1.4662077061172545,3.0,0,0,0,0,1,0
6600,3,1,1,1,1,1,0,0,2,1,15.622158803889679,8.79497643168877,4,1650.0,2.1987441079221925,4.0,0,0,0,0,1,0
8372,3,1,3,1,0,0,0,1,2,0,15.622158803889679,9.032767522204432,4,2093.0,2.258191880551108,1.3333333333333333,0,0,0,0,0,1
4300,6,2,2,1,0,0,0,0,0,0,15.621008717695398,8.366602832783736,8,537.5,1.045825354097967,4.0,0,0,1,1,0,0
9620,3,1,1,1,0,1,0,0,2,1,15.621008717695398,9.171703488361265,4,2405.0,2.2929258720903163,4.0,0,0,0,1,0,0
6800,2,1,1,1,1,1,0,0,2,0,15.610597983397946,8.824824939175638,3,2266.6666666666665,2.941608313058546,3.0,0,0,0,1,0,0
8000,3,1,1,1,1,1,0,1,2,1,15.610597983397946,8.987321812850125,4,2000.0,2.246830453212531,4.0,0,1,0,0,1,0
6900,3,2,1,1,1,1,0,0,0,1,15.610597983397946,8.839421607620602,5,1380.0,1.7678843215241205,5.0,0,0,1,0,0,1
3700,4,1,2,1,1,0,0,1,0,0,15.598901945589025,8.216358332386156,5,740.0,1.643271666477231,2.5,0,0,1,1,0,0
6420,3,1,1,1,0,1,0,1,0,1,15.598901945589025,8.76732914779405,4,1605.0,2.1918322869485123,4.0,0,0,1,1,0,0
7020,3,1,1,1,0,1,0,1,2,1,15.598901945589025,8.85666093701725,4,1755.0,2.2141652342543123,4.0,0,0,0,0,1,0
6540,3,1,1,1,1,1,0,0,2,1,15.598901945589025,8.785845337961213,4,1635.0,2.1964613344903032,4.0,0,0,0,1,0,0
7231,3,1,2,1,1,1,0,1,0,1,15.598901945589025,8.886270902072013,4,1807.75,2.2215677255180033,2.0,0,1,1,0,1,0
6254,4,2,1,1,0,1,0,0,1,1,15.598901945589025,8.741136422901011,6,1042.3333333333333,1.4568560704835019,6.0,0,0,0,0,1,0
7320,4,2,2,1,0,0,0,0,0,0,15.598901945589025,8.898502209646642,6,1220.0,1.4830837016077736,3.0,0,0,1,1,0,0
6525,3,2,4,1,0,0,0,0,1,0,15.598901945589025,8.783549477153265,5,1305.0,1.756709895430653,1.25,0,0,0,1,0,0
15600,3,1,1,1,0,0,0,1,2,0,15.59772478261397,9.65509029374725,4,3900.0,2.4137725734368125,4.0,0,0,0,0,1,0
7160,3,1,1,1,0,1,0,0,2,1,15.587067489942822,8.87640491500694,4,1790.0,2.219101228751735,4.0,0,0,0,0,0,1
6500,3,2,3,1,0,0,0,1,0,0,15.587067489942822,8.77971129020447,5,1300.0,1.7559422580408939,1.6666666666666667,0,0,1,0,0,1
5500,3,1,3,1,1,0,0,1,1,0,15.585876304775372,8.612685172875459,4,1375.0,2.1531712932188647,1.3333333333333333,0,0,0,1,0,0
11460,3,1,3,1,0,0,0,0,2,1,15.585876304775372,9.346705246496699,4,2865.0,2.3366763116241747,1.3333333333333333,0,0,0,0,1,0
4800,3,1,1,1,1,1,0,0,0,0,15.584683698993436,8.476579508530941,4,1200.0,2.1191448771327352,4.0,0,0,1,0,0,1
5828,4,1,4,1,1,0,0,0,0,0,15.575091300945118,8.67060073804555,5,1165.6,1.7341201476091102,1.25,0,0,1,0,1,0
5200,3,1,3,1,0,0,0,1,0,0,15.575091300945118,8.556606193773073,4,1300.0,2.139151548443268,1.3333333333333333,0,0,1,0,1,0
4800,3,1,3,1,0,0,0,1,0,0,15.575091300945118,8.476579508530941,4,1200.0,2.1191448771327352,1.3333333333333333,0,0,1,0,0,1
7000,3,1,1,1,0,1,0,0,2,1,15.57388575549739,8.853808274977197,4,1750.0,2.2134520687442993,4.0,0,0,0,0,1,0
6000,3,2,4,1,0,0,0,1,0,0,15.56904898753229,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,0,1,0,0,1
5400,4,2,2,1,0,0,0,1,2,0,15.562969942511762,8.594339400592892,6,900.0,1.4323899000988154,3.0,0,0,0,0,0,1
4640,4,1,2,1,0,0,0,0,1,0,15.562969942511762,8.442685139241176,5,928.0,1.6885370278482352,2.5,0,0,0,0,1,0
5000,3,1,3,1,0,0,0,1,0,0,15.562969942511762,8.517393171418904,4,1250.0,2.129348292854726,1.3333333333333333,0,0,1,0,1,0
6360,3,1,1,1,1,1,0,1,2,1,15.562969942511762,8.757940876678804,4,1590.0,2.189485219169701,4.0,0,1,0,1,0,0
5800,3,2,4,1,0,0,0,1,0,0,15.562969942511762,8.665785595466064,5,1160.0,1.7331571190932127,1.25,0,0,1,0,0,1
6660,4,2,2,1,1,1,0,0,1,1,15.547608660047116,8.804024902413179,6,1110.0,1.4673374837355297,3.0,0,0,0,0,1,0
10500,4,2,2,1,0,0,0,0,1,0,15.53827733427679,9.259225769705994,6,1750.0,1.543204294950999,3.0,0,0,0,0,1,0
4800,5,2,3,0,0,1,1,0,0,0,15.53827733427679,8.476579508530941,7,685.7142857142857,1.2109399297901344,2.3333333333333335,0,0,1,0,0,1
4700,4,1,2,1,1,1,0,1,1,0,15.53827733427679,8.45553053102413,5,940.0,1.6911061062048263,2.5,0,1,0,1,0,0
5000,3,1,4,1,0,0,0,0,0,0,15.53827733427679,8.517393171418904,4,1250.0,2.129348292854726,1.0,0,0,1,1,0,0
10500,2,1,1,1,0,0,0,0,1,0,15.53827733427679,9.259225769705994,3,3500.0,3.086408589901998,3.0,0,0,0,0,1,0
5500,3,2,2,1,0,0,0,0,1,0,15.53827733427679,8.612685172875459,5,1100.0,1.7225370345750917,2.5,0,0,0,0,1,0
6360,3,1,3,1,0,0,0,0,0,1,15.53827733427679,8.757940876678804,4,1590.0,2.189485219169701,1.3333333333333333,0,0,1,0,1,0
6600,4,2,1,1,0,1,0,0,0,1,15.53827733427679,8.79497643168877,6,1100.0,1.4658294052814618,6.0,0,0,1,0,1,0
5136,3,1,2,1,1,1,0,1,0,1,15.53827733427679,8.544224530467268,4,1284.0,2.136056132616817,2.0,0,1,1,0,0,1
4400,4,1,2,1,0,0,0,1,2,1,15.532007722386286,8.38958706681109,5,880.0,1.6779174133622181,2.5,0,0,0,0,1,0
5400,5,1,2,1,1,1,0,1,0,1,15.532007722386286,8.594339400592892,6,900.0,1.4323899000988154,3.0,0,1,1,1,0,0
3300,3,3,2,1,0,1,0,0,0,0,15.525698554330328,8.101980731853192,6,550.0,1.3503301219755321,3.0,0,0,1,0,1,0
3650,3,2,2,1,0,0,0,0,2,0,15.525698554330328,8.202756381655638,5,730.0,1.6405512763311276,2.5,0,0,0,0,1,0
6100,3,2,1,1,0,1,0,0,2,1,15.525698554330328,8.716207971151853,5,1220.0,1.7432415942303705,5.0,0,0,0,1,0,0
6900,3,1,1,1,1,1,0,0,0,1,15.524431929944326,8.839421607620602,4,1725.0,2.2098554019051506,4.0,0,0,1,0,1,0
2817,4,2,2,0,1,1,0,0,1,0,15.519349327803464,7.943782692458625,6,469.5,1.3239637820764376,3.0,0,0,0,1,0,0
7980,3,1,1,1,0,0,0,0,2,0,15.519349327803464,8.984818995876008,4,1995.0,2.246204748969002,4.0,0,0,0,0,1,0
3150,3,2,1,1,1,1,0,1,0,0,15.512959530871255,8.055475141757274,5,630.0,1.6110950283514547,5.0,0,1,1,1,0,0
6210,4,1,4,1,1,0,0,1,0,0,15.512959530871255,8.734077192559303,5,1242.0,1.7468154385118606,1.25,0,0,1,1,0,0
6100,3,1,3,1,1,0,0,1,0,1,15.512959530871255,8.716207971151853,4,1525.0,2.1790519927879632,1.3333333333333333,0,0,1,0,1,0
6600,4,2,2,1,1,1,0,0,0,1,15.512959530871255,8.79497643168877,6,1100.0,1.4658294052814618,3.0,0,0,1,0,1,0
6825,3,1,1,1,1,1,0,1,0,1,15.506528641722577,8.828494129466652,4,1706.25,2.207123532366663,4.0,0,1,1,0,1,0
6710,3,2,2,1,1,1,0,0,1,1,15.50005612841392,8.811503250158239,5,1342.0,1.7623006500316478,2.5,0,0,0,1,0,0
6450,3,2,1,1,1,1,1,0,0,0,15.498756583313094,8.771990436532242,5,1290.0,1.7543980873064484,5.0,0,0,1,0,0,1
7800,3,1,1,1,0,1,0,1,2,1,15.486984049287734,8.962007209588313,4,1950.0,2.240501802397078,4.0,0,0,0,0,0,1
4600,2,2,1,1,0,0,0,1,2,0,15.480383366501217,8.434028950155469,4,1150.0,2.108507237538867,4.0,0,0,0,0,1,0
4260,4,1,2,1,0,1,0,1,0,0,15.473738825043979,8.357259153499912,5,852.0,1.6714518306999824,2.5,0,0,1,1,0,0
6540,4,2,2,0,0,0,0,1,0,0,15.473738825043979,8.785845337961213,6,1090.0,1.4643075563268688,3.0,0,0,1,0,1,0
5500,3,2,1,1,0,1,0,0,0,0,15.473738825043979,8.612685172875459,5,1100.0,1.7225370345750917,5.0,0,0,1,0,1,0
10269,3,1,1,1,0,0,0,0,1,1,15.473738825043979,9.236982302922604,4,2567.25,2.309245575730651,4.0,0,0,0,0,1,0
8400,3,1,2,1,1,1,0,1,2,1,15.473738825043979,9.036106025364846,4,2100.0,2.2590265063412116,2.0,0,1,0,0,0,1
5300,4,2,1,1,0,0,0,1,0,1,15.473738825043979,8.575650760987806,6,883.3333333333334,1.4292751268313009,6.0,0,0,1,0,0,1
3800,3,1,2,1,1,1,0,0,1,1,15.473738825043979,8.24301946898925,4,950.0,2.0607548672473124,2.0,0,0,0,0,0,1
9800,4,2,2,1,1,0,0,0,2,0,15.473738825043979,9.19023970026918,6,1633.3333333333333,1.5317066167115299,3.0,0,0,0,0,1,0
8520,3,1,1,1,0,0,0,1,2,0,15.473738825043979,9.050288983827956,4,2130.0,2.262572245956989,4.0,0,0,0,1,0,0
6050,3,1,1,1,0,1,0,0,0,1,15.472404602285149,8.707978826622321,4,1512.5,2.1769947066555804,4.0,0,0,1,0,1,0
7085,3,1,1,1,1,1,0,0,2,1,15.469730804411405,8.865876285425417,4,1771.25,2.216469071356354,4.0,0,0,0,0,1,0
